29.248 54.712 63.487 60.362 71.184
15.499 81.333 85.630 81.274 34.852
98.790 53.191 82.616 2.921 61.702
58.748 14.973 80.296 78.881 3.355
34.822 19.062 60.832 2.584 0.411
59.613 51.638 28.965 14.728 80.564
30.534 44.947 9.636 10.640 15.400
72.588 67.850 85.918 56.390 93.168
33.637 19.118 84.015 93.683 71.249
81.906 62.763 9.134 83.774 79.769
73.228 69.622 17.662 6.566 63.493
69.922 1.994 17.177 37.209 55.375
97.666 0.364 64.020 70.009 36.442
17.005 90.143 22.657 42.848 10.398
95.643 10.912 85.831 72.123 51.827
56.383 82.664 48.409 25.370 81.469
7.091 19.562 90.335 19.712 42.701
60.362 2.113 41.895 63.412 89.604
3.479 46.480 22.951 79.572 19.964
79.171 57.903 16.111 97.925 78.989
95.318 51.044 58.283 2.451 93.152
52.392 7.053 13.838 77.858 91.701
97.984 68.452 99.877 33.037 53.385
11.705 64.236 93.989 98.838 32.982
97.746 66.889 46.341 21.086 24.711
96.424 21.490 1.241 5.889 46.554
22.951 36.681 75.187 80.331 91.203
91.275 67.223 79.138 36.060 90.692
75.882 10.544 29.739 37.793 34.949
11.074 46.497 15.874 65.868 26.060
6.994 94.805 85.607 16.678 36.563
47.641 48.258 58.659 49.776 49.097
39.705 11.119 27.798 40.791 68.631
14.617 81.553 68.638 96.536 39.351
26.252 75.209 75.682 98.715 25.664
61.848 55.294 16.882 95.484 29.956
68.795 58.518 19.103 25.773 12.034
3.144 20.209 30.214 32.761 26.372
5.882 39.161 11.805 57.142 51.819
68.623 22.276 37.059 62.895 96.276
15.729 2.624 54.537 70.444 55.728
38.635 15.996 33.955 44.562 36.653
51.682 22.870 74.519 14.417 29.270
65.587 20.710 91.274 21.972 13.410
58.730 25.845 27.473 64.651 79.465
52.283 91.212 92.426 39.982 99.724
95.310 96.564 44.577 31.558 87.134
71.229 99.265 91.873 25.781 21.143
2.880 97.411 74.166 99.839 57.878
72.795 34.791 81.826 9.626 84.898
12.984 38.785 22.122 19.062 15.903
14.307 5.631 39.417 34.921 73.528
21.108 21.406 28.068 25.174 11.104
12.892 97.842 16.264 0.595 13.015
25.085 18.315 96.273 71.598 67.437
79.740 35.748 45.991 77.123 18.262
10.211 5.915 75.920 89.950 97.987
1.113 96.489 98.412 54.788 78.621
50.579 92.224 53.685 39.459 94.375
79.225 14.340 55.102 56.043 97.537
21.885 58.604 35.558 26.223 96.820
63.854 3.770 37.450 30.619 12.004
27.912 33.752 83.854 61.626 88.773
28.869 22.213 38.726 20.027 47.715
70.776 25.913 82.319 44.357 32.229
56.845 13.959 37.317 79.786 39.498
89.869 78.699 94.660 97.520 1.192
28.047 92.204 55.185 71.779 84.222
25.736 26.594 2.065 95.048 10.001
82.956 5.188 61.087 13.256 18.590
27.687 29.094 7.397 86.642 70.327
29.885 24.074 69.903 91.731 77.921
1.115 69.227 61.569 92.024 11.952
79.294 24.177 38.102 68.119 42.636
93.145 96.371 36.112 56.941 83.966
91.037 30.958 73.714 59.226 46.259
81.815 94.037 55.378 64.212 9.167
1.692 18.849 15.345 29.224 61.317
66.495 86.031 14.260 51.926 45.380
74.640 20.720 31.322 6.757 22.191
1.640 53.980 11.898 50.572 51.317
69.822 82.775 96.777 4.359 37.929
87.055 39.561 93.343 43.026 47.791
53.213 39.024 16.151 51.869 86.364
80.918 27.394 68.305 99.139 96.084
7.686 63.069 24.127 45.550 57.234
28.302 17.614 33.383 17.226 40.208
34.724 90.235 26.545 7.113 85.513
79.834 50.145 52.094 24.543 82.488
13.552 47.959 30.641 55.933 88.835
6.681 3.834 54.728 86.737 3.535
59.293 56.951 37.522 25.000 1.699
72.252 86.289 50.986 51.678 48.140
72.407 0.941 50.139 21.320 67.805
87.922 79.953 19.454 72.200 74.135
96.139 71.355 83.005 89.889 64.328
26.877 72.636 80.992 16.645 93.422
90.842 14.536 82.678 97.325 8.283
9.223 34.836 67.541 0.507 1.799
27.439 97.989 95.792 40.462 35.708
